Date,Open,High,Low,Close,Volume
2020.05.14,19:00,18.56445,18.59208,18.53019,18.53572,3193
2020.05.14,20:00,18.53572,18.54641,18.42484,18.43726,4801
2020.05.14,21:00,18.43795,18.48611,18.42222,18.44227,2052
2020.05.14,22:05,18.44335,18.48384,18.42695,18.43426,289
2020.05.14,23:05,18.43424,18.44872,18.42701,18.44053,3764
2020.05.15,00:00,18.44081,18.44212,18.42430,18.43351,1026
2020.05.15,01:00,18.43335,18.44060,18.42369,18.42915,1264
2020.05.15,02:00,18.42962,18.45104,18.42929,18.44725,2374
2020.05.15,03:00,18.44725,18.47024,18.44195,18.45458,1479
2020.05.15,04:00,18.45465,18.47042,18.44648,18.45676,1266
2020.05.15,05:00,18.45693,18.46134,18.44314,18.44323,232
2020.05.15,06:00,18.44399,18.45987,18.43184,18.45548,1032
2020.05.15,07:00,18.45548,18.48539,18.44566,18.45543,3318
2020.05.15,08:00,18.45561,18.45562,18.34296,18.36528,5409
2020.05.15,09:00,18.36745,18.41695,18.34321,18.39639,4581
2020.05.15,10:00,18.39643,18.43879,18.38808,18.41573,4833
2020.05.15,11:00,18.41574,18.53235,18.39193,18.52199,4426
2020.05.15,12:00,18.52161,18.57732,18.50727,18.55928,7662
2020.05.15,13:00,18.55989,18.61726,18.50169,18.50548,8231
2020.05.15,14:00,18.50327,18.56023,18.49062,18.49247,8553
2020.05.15,15:00,18.49228,18.57580,18.43782,18.56339,7174
2020.05.15,16:00,18.56035,18.60458,18.54080,18.55226,5334
2020.05.15,17:00,18.55236,18.56422,18.51017,18.55363,4320
2020.05.15,18:00,18.55386,18.57891,18.52722,18.54569,3646
2020.05.15,19:00,18.54578,18.59873,18.54455,18.59695,2448
2020.05.15,20:00,18.59655,18.60625,18.59142,18.59955,1336
2020.05.15,21:00,18.60045,18.61514,18.56733,18.57925,904
2020.05.17,22:05,18.57950,18.58465,18.56095,18.58085,87
2020.05.17,23:05,18.57725,18.59110,18.57710,18.58725,131
2020.05.18,00:00,18.58791,18.59615,18.57200,18.57385,446
2020.05.18,01:00,18.57445,18.57995,18.57075,18.57475,1429
2020.05.18,02:00,18.57410,18.57625,18.52859,18.53410,758
2020.05.18,03:00,18.53410,18.53410,18.49925,18.50380,516
2020.05.18,04:00,18.50414,18.50684,18.49853,18.50382,1169
2020.05.18,05:00,18.50384,18.51827,18.49893,18.50535,1345
2020.05.18,06:00,18.50545,18.52348,18.50167,18.52267,1269
2020.05.18,07:00,18.52267,18.54600,18.41960,18.45009,3994
2020.05.18,08:00,18.45001,18.49817,18.39685,18.48347,5423
2020.05.18,09:00,18.48144,18.54280,18.45675,18.50650,3812
2020.05.18,10:00,18.50759,18.55095,18.46842,18.48514,3465
2020.05.18,11:00,18.48498,18.51034,18.45381,18.46018,3382
2020.05.18,12:00,18.46020,18.48166,18.36540,18.36999,4830
2020.05.18,13:00,18.37060,18.39910,18.34800,18.37632,5722
2020.05.18,14:00,18.37655,18.39814,18.33457,18.38209,6659
2020.05.18,15:00,18.38211,18.44535,18.37332,18.40513,6178
2020.05.18,16:00,18.40478,18.40740,18.33759,18.38682,6100
2020.05.18,17:00,18.38675,18.43475,18.37217,18.39386,5483
2020.05.18,18:00,18.39386,18.40130,18.37825,18.39280,2564
2020.05.18,19:00,18.39281,18.39320,18.36386,18.36719,5239
2020.05.18,20:00,18.36721,18.36805,18.33408,18.35220,3801
2020.05.18,21:00,18.35190,18.35277,18.33040,18.33185,720
2020.05.18,22:05,18.33245,18.34420,18.33220,18.33407,172
2020.05.18,23:05,18.33466,18.33608,18.33048,18.33225,289
2020.05.19,00:00,18.33225,18.35338,18.33225,18.34355,602
2020.05.19,01:00,18.34466,18.35152,18.32375,18.32796,1920
2020.05.19,02:00,18.32808,18.36939,18.30533,18.36939,1819
2020.05.19,03:00,18.36978,18.36978,18.35500,18.36275,1250
2020.05.19,04:00,18.36305,18.37617,18.36007,18.37352,919
2020.05.19,05:00,18.37355,18.37388,18.35208,18.35905,2554
2020.05.19,06:00,18.35836,18.37140,18.35475,18.36482,2169
2020.05.19,07:00,18.37081,18.37081,18.25005,18.25650,4756
2020.05.19,08:00,18.25792,18.30271,18.23723,18.28256,6183
2020.05.19,09:00,18.28241,18.31177,18.22544,18.22687,5601
2020.05.19,10:00,18.22692,18.25380,18.19050,18.23878,5869
